date,close,change,rsi,up,down
2014-12-24,2.65,-0.02,62.43724399613622,0.0,0.0
2014-12-26,2.65,0.0,58.183361866849374,0.0,0.0
2014-12-29,2.66,0.01,58.18336186684936,0.0,0.0
2014-12-30,2.63,-0.03,59.96466994927873,0.0,0.0
2014-12-31,2.67,0.04,52.32288506167772,0.0,0.0
2015-01-02,2.69,0.02,60.07581865204671,0.0,0.0
2015-01-05,2.66,-0.03,63.470233683701004,0.0,0.0
2015-01-06,2.63,-0.03,55.39617491355728,0.0,0.0
2015-01-07,2.58,-0.05,48.36475905024075,0.0,0.0
2015-01-08,2.61,0.03,38.94821989769967,0.0,0.0
2015-01-09,2.63,0.02,46.13905681835946,0.0,0.0
2015-01-12,2.63,0.0,50.574461082043406,0.0,0.0
2015-01-13,2.66,0.03,50.574461082043406,0.0,0.0
2015-01-14,2.63,-0.03,57.4408357781097,0.0,0.0
2015-01-15,2.52,-0.11,49.57053017167079,0.0,0.0
2015-01-16,2.39,-0.13,31.490113110739372,0.0,0.0
2015-01-20,2.24,-0.15,21.096959221553632,0.0,0.0
2015-01-21,2.45,0.21,14.699417610191063,0.0,0.0
2015-01-22,2.47,0.02,42.56593921842471,0.0,0.0
2015-01-23,2.45,-0.02,44.538037902513544,0.0,0.0
2015-01-26,2.61,0.16,42.856272321980086,0.0,0.0
2015-01-27,2.7,0.09,57.52141656257074,0.0,0.0
2015-01-28,2.63,-0.07,63.53708189410497,0.0,0.0
2015-01-29,2.61,-0.02,56.43319906980815,0.0,0.0
2015-01-30,2.57,-0.04,54.44548329503257,0.0,0.0
2015-02-02,2.67,0.1,50.388761365826724,0.0,0.0
2015-02-03,2.76,0.09,59.096507009615806,0.0,0.0
2015-02-04,2.85,0.09,65.35171633117551,0.0,0.0
2015-02-05,3.31,0.46,70.50639156265498,0.0,0.0
2015-02-06,3.03,-0.28,84.21969766739298,0.0,0.0
2015-02-09,3.04,0.01,63.636505460261326,0.0,0.0
2015-02-10,3.04,0.0,63.99566529042787,0.0,0.0
2015-02-11,3.07,0.03,63.99566529042788,0.0,0.0
2015-02-12,3.12,0.05,65.33716735147783,0.0,0.0
2015-02-13,3.15,0.03,67.63418236206294,0.0,0.0
2015-02-17,3.11,-0.04,69.04097552117015,0.0,0.0
2015-02-18,3.08,-0.03,64.75224110760726,0.0,0.0
2015-02-19,3.055,-0.025,61.47882652173807,0.0,0.0
2015-02-20,3.06,0.005,58.654851508866074,0.0,0.0
2015-02-23,3.06,0.0,59.084433230781954,0.0,0.0
2015-02-24,3.11,0.05,59.08443323078195,0.0,0.0
2015-02-25,3.1,-0.01,63.97351225318852,0.0,0.0
2015-02-26,3.08,-0.02,62.2726933357538,0.0,0.0
2015-02-27,3.11,0.03,58.70525244958996,0.0,0.0
2015-03-02,3.21,0.1,62.398028400860255,0.0,0.0
2015-03-03,3.14,-0.07,71.95276778802886,0.0,0.0
2015-03-04,3.05,-0.09,59.7971112639778,0.0,0.0
2015-03-05,2.98,-0.07,47.90523664232763,0.0,0.0
2015-03-06,2.92,-0.06,40.708963488386395,0.0,0.0
2015-03-09,2.93,0.01,35.48694483611516,0.0,0.0
2015-03-10,2.92,-0.01,37.02564084492596,0.0,0.0
2015-03-11,2.84,-0.08,36.043168956928646,0.0,0.0
2015-03-12,2.76,-0.08,29.006138916796473,0.0,0.0
2015-03-13,2.75,-0.01,23.714677763923177,0.0,0.0
2015-03-16,2.76,0.01,23.11235152341588,0.0,0.0
2015-03-17,2.77,0.01,25.28123484345963,0.0,0.0
